batch_size,client_num_in_total,cut_layer,partition_alpha,accuracy
64,11,9.0,15.403596595019248,0.8961832061068702
128,19,8.0,2.362490747747565,0.932824427480916
32,4,9.0,1.1395817246491853,0.9221374045801527
32,2,9.0,0.1115232812549434,0.9068702290076336
64,2,9.0,14.442352339645913,0.9312977099236641
64,12,3.0,0.2642526057549916,0.9450381679389313
128,17,4.0,0.9860942908083908,0.932824427480916
32,16,8.0,0.8319401612263677,0.9496183206106871
32,3,6.0,0.7586762940448893,0.9526717557251908
32,9,8.0,3.676275522134636,0.9603053435114504
16,14,3.0,15.255065745117381,0.9496183206106871
16,2,5.0,0.5022563311994769,0.9679389312977099
64,7,5.0,1.0299214204601976,0.9572519083969465
128,3,7.0,8.26430780469112,0.9633587786259542
8,8,5.0,0.39396759377547214,0.9633587786259542
16,10,5.0,0.9512538336584953,0.9694656488549618
128,12,3.0,17.02328271686738,0.9587786259541985
16,14,8.0,11.455777613940606,0.9648854961832061
64,8,6.0,0.12707770074499689,0.966412213740458
128,13,2.0,0.4210971105328152,0.9694656488549618
128,1,2.0,7.012604000905367,0.9694656488549618
8,12,9.0,5.983542473217019,0.9694656488549618
32,8,4.0,0.2867756918772505,0.9694656488549618
32,5,3.0,5.9527302458239735,0.9725190839694656
16,7,2.0,0.184764351288412,0.9740458015267176
64,16,8.0,0.5773062784917183,0.9648854961832061
128,8,7.0,4.773596444669527,0.9740458015267176
32,3,6.0,1.9563112740927744,0.9709923664122138
32,14,8.0,5.631047841350823,0.9725190839694656
32,15,3.0,1.5952322469109683,0.9740458015267176
16,19,8.0,1.0254782863641851,0.9648854961832061
8,4,7.0,0.5288622176491503,0.9770992366412213
128,13,8.0,0.3746527260467629,0.9709923664122138
32,13,9.0,0.29325806798716725,0.966412213740458
32,2,3.0,3.9693644104005226,0.9725190839694656
128,6,5.0,0.4789189027715981,0.9770992366412213
64,11,9.0,0.31815444725000264,0.9755725190839695
16,7,7.0,0.19095368593454046,0.9740458015267176
8,13,2.0,0.4228481828788673,0.9648854961832061
32,8,4.0,0.10375213943059786,0.966412213740458
8,1,4.0,1.304993374930606,0.9679389312977099
16,15,4.0,0.5982223525495426,0.9679389312977099
8,17,3.0,0.8496482024526731,0.9755725190839695
64,7,3.0,0.3698871344627227,0.9679389312977099
32,17,9.0,0.4924135735858228,0.9740458015267176
8,2,3.0,0.41102772390918335,0.966412213740458
64,5,9.0,0.1313572811441117,0.9648854961832061
8,2,6.0,2.8817843063754647,0.9694656488549618
64,6,9.0,1.0724140452415685,0.9679389312977099
64,17,8.0,0.1534779285958901,0.9740458015267176
128,6,7.0,2.850720787528541,0.9572519083969465
32,16,2.0,7.561957456449993,0.9618320610687023
8,6,9.0,0.5471728643473659,0.966412213740458
128,4,4.0,9.442986241549304,0.9679389312977099
16,19,5.0,1.5077921840166906,0.9740458015267176
64,8,9.0,14.59392947539871,0.9694656488549618
16,11,5.0,8.464398106421383,0.9755725190839695
8,10,4.0,0.1824340821760336,0.9740458015267176
64,16,2.0,0.25268329712991777,0.9725190839694656
64,2,2.0,1.6547861144770246,0.9755725190839695
64,9,2.0,1.9259720626223087,0.9709923664122138
32,16,4.0,4.088315227397115,0.9557251908396946
64,1,9.0,10.995436403641989,0.9755725190839695
64,8,5.0,0.15617394587891606,0.9694656488549618
64,16,7.0,2.1685894168867392,0.9725190839694656
8,18,9.0,3.3630821262980684,0.9694656488549618
16,3,9.0,1.3104239241253683,0.9679389312977099
128,1,5.0,0.3281333770531391,0.9679389312977099
8,16,5.0,1.369191685855883,0.9709923664122138
32,1,9.0,3.2597702412369736,0.9679389312977099
64,14,7.0,1.4818234150913716,0.9709923664122138
128,8,4.0,1.3182819147357796,0.9725190839694656
32,1,5.0,6.743488952231307,0.9679389312977099
8,16,4.0,0.281358455554337,0.9709923664122138
64,17,9.0,0.1137500950251065,0.9694656488549618
8,14,6.0,19.430794448385193,0.9725190839694656
32,5,9.0,5.254402370810563,0.9541984732824428
128,3,5.0,0.96663956924525,0.9694656488549618
8,1,9.0,0.14906442017692198,0.9679389312977099
32,10,8.0,0.24547535353423044,0.9648854961832061
16,14,9.0,13.803735639787144,0.9603053435114504
64,11,9.0,15.403596595019248,0.8519083969465648
128,19,8.0,2.362490747747565,0.932824427480916
32,4,9.0,1.1395817246491853,0.9038167938931297
32,2,9.0,0.1115232812549434,0.9083969465648855
64,2,9.0,14.442352339645913,0.9450381679389313
64,12,3.0,0.2642526057549916,0.916030534351145
128,17,4.0,0.9860942908083908,0.9267175572519084
32,16,8.0,0.8319401612263677,0.9496183206106871
32,3,6.0,0.7586762940448893,0.9465648854961832
32,9,8.0,3.676275522134636,0.9557251908396946
16,14,3.0,15.255065745117381,0.9541984732824428
16,2,5.0,0.5022563311994769,0.9618320610687023
64,7,5.0,1.0299214204601976,0.9618320610687023
128,3,7.0,8.26430780469112,0.9587786259541985
8,8,5.0,0.39396759377547214,0.9526717557251908
16,10,5.0,0.9512538336584953,0.9526717557251908
128,12,3.0,17.02328271686738,0.9648854961832061
16,14,8.0,11.455777613940606,0.9679389312977099
64,8,6.0,0.12707770074499689,0.9633587786259542
128,13,2.0,0.4210971105328152,0.9694656488549618
128,1,2.0,7.012604000905367,0.9618320610687023
8,12,9.0,5.983542473217019,0.966412213740458
32,8,4.0,0.2867756918772505,0.966412213740458
32,5,3.0,5.9527302458239735,0.966412213740458
16,7,2.0,0.184764351288412,0.9633587786259542
64,16,8.0,0.5773062784917183,0.9740458015267176
128,8,7.0,4.773596444669527,0.9725190839694656
32,3,6.0,1.9563112740927744,0.9709923664122138
32,14,8.0,5.631047841350823,0.9541984732824428
32,15,3.0,1.5952322469109683,0.9679389312977099
16,19,8.0,1.0254782863641851,0.9557251908396946
8,4,7.0,0.5288622176491503,0.9740458015267176
128,13,8.0,0.3746527260467629,0.9694656488549618
32,13,9.0,0.29325806798716725,0.9633587786259542
32,2,3.0,3.9693644104005226,0.9679389312977099
128,6,5.0,0.4789189027715981,0.9694656488549618
64,11,9.0,0.31815444725000264,0.9648854961832061
16,7,7.0,0.19095368593454046,0.9694656488549618
8,13,2.0,0.4228481828788673,0.9679389312977099
32,8,4.0,0.10375213943059786,0.9618320610687023
8,1,4.0,1.304993374930606,0.9633587786259542
16,15,4.0,0.5982223525495426,0.9618320610687023
8,17,3.0,0.8496482024526731,0.9694656488549618
64,7,3.0,0.3698871344627227,0.9587786259541985
32,17,9.0,0.4924135735858228,0.9709923664122138
8,2,3.0,0.41102772390918335,0.9633587786259542
64,5,9.0,0.1313572811441117,0.9679389312977099
8,2,6.0,2.8817843063754647,0.9725190839694656
64,6,9.0,1.0724140452415685,0.9679389312977099
64,17,8.0,0.1534779285958901,0.9618320610687023
128,6,7.0,2.850720787528541,0.966412213740458
32,16,2.0,7.561957456449993,0.9694656488549618
8,6,9.0,0.5471728643473659,0.9603053435114504
128,4,4.0,9.442986241549304,0.9709923664122138
16,19,5.0,1.5077921840166906,0.9725190839694656
64,8,9.0,14.59392947539871,0.9694656488549618
16,11,5.0,8.464398106421383,0.9709923664122138
8,10,4.0,0.1824340821760336,0.9725190839694656
64,16,2.0,0.25268329712991777,0.9725190839694656
64,2,2.0,1.6547861144770246,0.9740458015267176
64,9,2.0,1.9259720626223087,0.9725190839694656
32,16,4.0,4.088315227397115,0.9709923664122138
64,1,9.0,10.995436403641989,0.9648854961832061
64,8,5.0,0.15617394587891606,0.9694656488549618
64,16,7.0,2.1685894168867392,0.9755725190839695
8,18,9.0,3.3630821262980684,0.9694656488549618
16,3,9.0,1.3104239241253683,0.9633587786259542
128,1,5.0,0.3281333770531391,0.9694656488549618
8,16,5.0,1.369191685855883,0.9618320610687023
