batch_size,client_num_in_total,cut_layer,partition_alpha,accuracy
64,11,9.0,15.403596595019248,0.54858934169279
128,19,8.0,2.362490747747565,0.6363636363636364
32,4,9.0,1.1395817246491853,0.700626959247649
32,2,9.0,0.1115232812549434,0.7460815047021944
64,2,9.0,14.442352339645913,0.774294670846395
64,12,3.0,0.2642526057549916,0.7978056426332288
128,17,4.0,0.9860942908083908,0.8040752351097179
32,16,8.0,0.8319401612263677,0.8213166144200627
32,3,6.0,0.7586762940448893,0.8526645768025078
32,9,8.0,3.676275522134636,0.8448275862068966
16,14,3.0,15.255065745117381,0.8448275862068966
16,2,5.0,0.5022563311994769,0.8495297805642633
64,7,5.0,1.0299214204601976,0.829153605015674
128,3,7.0,8.26430780469112,0.8573667711598746
8,8,5.0,0.39396759377547214,0.8636363636363636
16,10,5.0,0.9512538336584953,0.8652037617554859
128,12,3.0,17.02328271686738,0.8495297805642633
16,14,8.0,11.455777613940606,0.8636363636363636
64,8,6.0,0.12707770074499689,0.8808777429467085
128,13,2.0,0.4210971105328152,0.8730407523510971
128,1,2.0,7.012604000905367,0.8808777429467085
8,12,9.0,5.983542473217019,0.85423197492163
32,8,4.0,0.2867756918772505,0.8746081504702194
32,5,3.0,5.9527302458239735,0.8605015673981191
16,7,2.0,0.184764351288412,0.8636363636363636
64,16,8.0,0.5773062784917183,0.8793103448275862
128,8,7.0,4.773596444669527,0.8652037617554859
32,3,6.0,1.9563112740927744,0.8824451410658307
32,14,8.0,5.631047841350823,0.8824451410658307
32,15,3.0,1.5952322469109683,0.8808777429467085
16,19,8.0,1.0254782863641851,0.8808777429467085
8,4,7.0,0.5288622176491503,0.877742946708464
128,13,8.0,0.3746527260467629,0.877742946708464
32,13,9.0,0.29325806798716725,0.877742946708464
32,2,3.0,3.9693644104005226,0.877742946708464
128,6,5.0,0.4789189027715981,0.896551724137931
64,11,9.0,0.31815444725000264,0.8636363636363636
16,7,7.0,0.19095368593454046,0.8887147335423198
8,13,2.0,0.4228481828788673,0.8808777429467085
32,8,4.0,0.10375213943059786,0.8793103448275862
8,1,4.0,1.304993374930606,0.8918495297805643
16,15,4.0,0.5982223525495426,0.8714733542319749
8,17,3.0,0.8496482024526731,0.8730407523510971
64,7,3.0,0.3698871344627227,0.8996865203761756
32,17,9.0,0.4924135735858228,0.8855799373040752
8,2,3.0,0.41102772390918335,0.8918495297805643
64,5,9.0,0.1313572811441117,0.890282131661442
8,2,6.0,2.8817843063754647,0.8871473354231975
64,6,9.0,1.0724140452415685,0.8730407523510971
64,17,8.0,0.1534779285958901,0.8793103448275862
128,6,7.0,2.850720787528541,0.8652037617554859
32,16,2.0,7.561957456449993,0.8714733542319749
8,6,9.0,0.5471728643473659,0.8793103448275862
128,4,4.0,9.442986241549304,0.8824451410658307
16,19,5.0,1.5077921840166906,0.8871473354231975
64,8,9.0,14.59392947539871,0.8996865203761756
16,11,5.0,8.464398106421383,0.896551724137931
8,10,4.0,0.1824340821760336,0.8840125391849529
64,16,2.0,0.25268329712991777,0.8808777429467085
64,2,2.0,1.6547861144770246,0.8683385579937304
64,9,2.0,1.9259720626223087,0.8589341692789969
32,16,4.0,4.088315227397115,0.8808777429467085
64,1,9.0,10.995436403641989,0.890282131661442
64,8,5.0,0.15617394587891606,0.8793103448275862
64,16,7.0,2.1685894168867392,0.8808777429467085
8,18,9.0,3.3630821262980684,0.8761755485893417
16,3,9.0,1.3104239241253683,0.8761755485893417
128,1,5.0,0.3281333770531391,0.8526645768025078
8,16,5.0,1.369191685855883,0.877742946708464
32,1,9.0,3.2597702412369736,0.8667711598746082
64,14,7.0,1.4818234150913716,0.8793103448275862
128,8,4.0,1.3182819147357796,0.896551724137931
32,1,5.0,6.743488952231307,0.8949843260188087
8,16,4.0,0.281358455554337,0.8667711598746082
64,17,9.0,0.1137500950251065,0.8714733542319749
8,14,6.0,19.430794448385193,0.8683385579937304
32,5,9.0,5.254402370810563,0.8699059561128527
128,3,5.0,0.96663956924525,0.8730407523510971
8,1,9.0,0.14906442017692198,0.8730407523510971
32,10,8.0,0.24547535353423044,0.8557993730407524
16,14,9.0,13.803735639787144,0.8840125391849529
16,2,8.0,2.601058237854002,0.8683385579937304
32,17,9.0,0.4780490961301537,0.8636363636363636
8,16,8.0,0.20623851916446329,0.8949843260188087
128,3,3.0,0.4811480550187918,0.8824451410658307
8,7,2.0,2.5533561247014203,0.8730407523510971
64,1,9.0,6.869120772681416,0.8636363636363636
64,15,5.0,10.968131644325524,0.8793103448275862
16,19,2.0,0.16453385096683595,0.8557993730407524
16,17,5.0,1.77272586548355,0.8683385579937304
16,11,5.0,7.813193219961863,0.8432601880877743
128,12,5.0,1.591099746037092,0.8620689655172413
128,6,6.0,1.1276669517080269,0.8730407523510971
64,3,8.0,0.8841738665776276,0.8793103448275862
64,18,5.0,0.20204643798350572,0.8746081504702194
16,17,9.0,0.5535189981414637,0.8699059561128527
32,5,3.0,1.0234966046771128,0.8699059561128527
128,9,5.0,0.15349390041079725,0.8824451410658307
128,1,8.0,0.13611475595001551,0.841692789968652
16,16,2.0,0.35625248795451725,0.877742946708464
128,16,6.0,0.4406931435609023,0.8636363636363636
128,3,5.0,2.5561585376006883,0.8746081504702194
16,5,7.0,0.659331479150925,0.8636363636363636
8,5,8.0,0.6118928352759411,0.877742946708464
8,5,5.0,0.5206805632260685,0.8652037617554859
16,7,5.0,5.7085319350267305,0.8573667711598746
8,5,8.0,1.1728119482349944,0.8667711598746082
16,5,5.0,2.612700019129295,0.8652037617554859
16,10,3.0,0.39840433288279775,0.8589341692789969
32,1,9.0,1.437909731350859,0.8448275862068966
128,16,9.0,3.74818613075738,0.877742946708464
16,12,3.0,0.11508091884351401,0.8840125391849529
32,1,6.0,3.0215200920004275,0.8855799373040752
32,12,4.0,7.732430929272372,0.8667711598746082
8,10,4.0,16.282771145577367,0.8699059561128527
64,12,8.0,0.4269654875843678,0.8824451410658307
16,18,4.0,0.1229292794950308,0.877742946708464
8,10,3.0,3.2272859913889156,0.8620689655172413
16,7,5.0,0.39798429006401576,0.8667711598746082
16,13,4.0,4.010634788550438,0.8667711598746082
128,4,3.0,0.12307473606602283,0.8746081504702194
